"ENSG00000002586.16"	"ENSG00000005381.7"	"ENSG00000007516.12"	"ENSG00000019991.14"	"ENSG00000037280.14"	"ENSG00000065054.12"	"ENSG00000067177.13"	"ENSG00000078399.14"	"ENSG00000078596.9"	"ENSG00000086205.15"	"ENSG00000087495.15"	"ENSG00000091490.9"	"ENSG00000091972.17"	"ENSG00000095917.12"	"ENSG00000102595.17"	"ENSG00000105996.6"	"ENSG00000105997.21"	"ENSG00000106004.4"	"ENSG00000106006.6"	"ENSG00000106538.8"	"ENSG00000111885.6"	"ENSG00000113140.9"	"ENSG00000113389.14"	"ENSG00000115935.15"	"ENSG00000116176.6"	"ENSG00000116985.9"	"ENSG00000119280.15"	"ENSG00000122592.7"	"ENSG00000129194.6"	"ENSG00000129467.12"	"ENSG00000132122.10"	"ENSG00000132975.7"	"ENSG00000133138.18"	"ENSG00000134569.8"	"ENSG00000136040.7"	"ENSG00000136854.16"	"ENSG00000137449.14"	"ENSG00000137571.9"	"ENSG00000139117.12"	"ENSG00000139354.9"	"ENSG00000143994.12"	"ENSG00000144668.10"	"ENSG00000145916.17"	"ENSG00000147257.12"	"ENSG00000147488.10"	"ENSG00000151917.16"	"ENSG00000152953.11"	"ENSG00000154864.10"	"ENSG00000156298.11"	"ENSG00000156968.8"	"ENSG00000158747.12"	"ENSG00000162078.10"	"ENSG00000163106.9"	"ENSG00000164929.15"	"ENSG00000165716.8"	"ENSG00000166908.16"	"ENSG00000167419.9"	"ENSG00000167664.7"	"ENSG00000168916.14"	"ENSG00000170893.3"	"ENSG00000171517.5"	"ENSG00000172236.15"	"ENSG00000172889.14"	"ENSG00000174059.15"	"ENSG00000177380.12"	"ENSG00000177398.17"	"ENSG00000179954.13"	"ENSG00000181433.8"	"ENSG00000182168.13"	"ENSG00000182749.5"	"ENSG00000183971.5"	"ENSG00000188626.6"	"ENSG00000189068.8"	"ENSG00000196557.9"	"ENSG00000197253.12"	"ENSG00000197496.5"	"ENSG00000197576.12"	"ENSG00000198185.10"	"ENSG00000198576.3"	"ENSG00000198842.8"	"ENSG00000203797.8"	"ENSG00000205696.4"	"ENSG00000206557.5"	"ENSG00000213759.7"	"ENSG00000225792.1"	"ENSG00000226562.3"	"ENSG00000228401.4"	"ENSG00000230453.8"	"ENSG00000230749.4"	"ENSG00000232046.5"	"ENSG00000232431.3"	"ENSG00000236939.2"	"ENSG00000239887.4"	"ENSG00000242600.5"	"ENSG00000243587.6"	"ENSG00000248334.5"	"ENSG00000248347.3"	"ENSG00000250696.4"	"ENSG00000253187.2"	"ENSG00000253293.4"	"ENSG00000253552.6"	"ENSG00000254006.4"	"ENSG00000254369.5"	"ENSG00000257654.1"	"ENSG00000257718.1"	"ENSG00000257883.1"	"ENSG00000258733.4"	"ENSG00000260182.1"	"ENSG00000262877.4"	"ENSG00000263961.5"	"ENSG00000267453.5"	"ENSG00000270182.1"	"ENSG00000271447.4"	"ENSG00000275325.3"	"ENSG00000275342.3"	"ENSG00000276141.3"	"ENSG00000277867.1"
"LogReg_Fold1"	0.798764456941065	0.508422373513102	0.613900648459583	0.359747030614139	0.519982546830816	0.569484861227217	0.633010272621711	0.72953944158022	0.548365776822101	0.590771502124109	0.63663930239852	0.622882116245137	0.734395849696421	0.368060029241394	0.440146986691065	0.276496888914573	0.433499150821726	0.546077683628772	0.541435599924167	0.558865714246122	0.376383494799933	0.439930665077311	0.348323002680227	0	0.591617753976798	0.637256846303457	0.70057993429759	0.690842303223747	0.876243512053148	0.320448145634917	0.536022281141424	0.511396999115027	0.257447759483788	0.435116878868831	1	0.592050614365826	0.449112435250132	0.410482666227756	0.488613471145256	0.624456097407728	0.559427364352475	0.549083113220487	0.302465493861626	0.507499378960284	0.587215845821322	0.832121864979021	0.666211274073058	0.667468730414475	0.66317226746136	0.693269127218768	0.475123696798387	0.499963439684096	0.385222298742755	0.609147536994369	0.56972052711449	0.330020795226858	0.62409043229283	0.52989646220398	0.509273881112032	0.746261276460627	0.495160518582493	0.29923035710218	0.968680372093105	0.56606809292714	0.786612452393592	0.372035000807981	0.419319943229182	0.476374958687462	0.536229567910403	0.270904673561657	0.632272399309525	0.744936464550003	0.923869102119285	0.72016519512645	0.737214844037683	0.549901197023669	0.64317011083433	0.623466781666293	0.473727862868864	0.424905283155366	0.564174427363341	0.587123213474403	0.650272006404269	0.641348835939091	0.460702546984855	0.41229034552182	0.318132709069282	0.530040511512953	0.76185997951817	0.481831754789535	0.595272105329118	0.480234063791615	0.730034642807621	0.558238181219928	0.495269176831795	0.525664671804235	0.485606401248906	0.42326976709219	0.542054841783609	0.413381530530231	0.743314129629865	0.383240233968084	0.500931522200791	0.688560919948045	0.665228268932838	0.449118697634247	0.148624422645308	0.618510445437807	0.51930952472338	0.945452753907176	0.524097663181193	0.521153559712234	0.655838369839894	0.475626789179153	0.678104014025175	0.731406670352925	0.569313135950978
"LogReg_Fold2"	0.187424913103519	0.527193314767107	0.660454347995411	0.733030646130919	0.628493974955846	0.713795814334527	0.73987432090217	0.728601732268736	0.434033645696085	0.611081044442658	0.691566344901608	0.497781625918169	0.745819452659846	0.440184570712953	0.519653227515964	0.512653409635201	0.539814699601505	0.619533065213457	0.595409008220573	0.770019186064447	0.397039075833884	0.555261822099563	0.511766554132148	0	0.748033748006872	0.646937935320992	0.723298059542176	0.720320785581189	0.649647307914747	0.71806458291597	0.783078744231572	0.606916928961269	0.534501010889717	0.525266164119232	0.804644727565689	0.380757401457238	0.586459632977958	0.672756396374453	0.578530534453825	0.542244759742436	0.391183782171442	0.658177786759533	0.672068133486422	0.530990926697671	0.779770266302734	0.72646382368258	0.730663984831932	0.674640253206112	0.71429765285686	0.738668951828292	0.738916580482601	0.619642663757711	0.577100231008465	0.617417402448669	0.815977415484898	0.439706945445628	0.701448231369567	0.623867210032286	0.410213202203921	0.566217923045819	0.689737057897569	0.63345860701003	0.840136962627572	0.607084418737285	0.692661725777574	0.718477649193481	0.567822499428214	0.551509771619075	0.731305735045078	0.841352062072553	0.575483104061171	0.687581301614294	0.685826530523878	0.554046800703074	0.912533993728572	0.600820167449109	0.504653280720331	0.623873822568408	0.666946809993863	0.660079509391418	0.584202667662872	0.722215030399829	0.549921930268855	0.584619065658251	0.524842825953034	0.517658619737732	0.537572892003377	0.65638304614806	0.631259087056041	0.654621005983619	0.566369728708661	0.565290763944383	0.69322509054216	0.773523665393146	0.521007220525698	1	0.608114191170535	0.62968149393372	0.679630546666321	0.665935201443823	0.773802446720781	0.5280178330918	0.721683563645166	0.454889906863789	0.799351148658614	0.542992545812325	0.590945078425817	0.504917382637451	0.489987124413035	0.880026382530016	0.52344588186896	0.684866439301657	0.710220686526703	0.552611413304002	0.6809029322295	0.531650644731166	0.590277102038788
"LogReg_Fold3"	0.991763560116547	0.46778454672613	0.702323096636769	0.424637588923047	0.585301349904898	0.619399135308828	0.79263082555343	0.755843797795418	0.713887182993164	0.611204464532013	0.427121401032914	0.464804104209212	0.269492618352172	0.470909026285316	0.719879216489807	0.413027523213337	0.655930462273673	0.657649938256271	0.884036989800543	0.532115914545854	0.622424887649356	0.566575656346002	0.466479869527432	0.21846496407037	0.795642837199746	0.551460244723677	0.708348520730314	0.474717164601327	0.483638747834489	0.839692170013247	0.779534915728864	0.754448402956107	0.599331478994609	0.456821615919271	0.676923923368908	0.37834466448829	0.404101647657685	0.704196831819164	0.653905377785915	0.522865960476515	0.649790949508825	0.7680949676967	0.541194139400451	0.543386385314084	0.595876912876181	0.583808923372043	0.74524246234703	0.546181272586596	0.609865651093585	0.608457511863322	0.410004499255303	0.71496948350275	0.503449421051487	0.637664887321499	1	0.381159883972986	0.725048737823986	0.396213877260039	0.489801803231942	0.521873921545246	0.624300050732442	0.567734668120165	0.78855602210854	0.519563266353856	0.903646952595865	0.604584909042908	0.619668058245456	0.640275919357035	0.737064508797034	0	0.624082437674943	0.933343368376696	0.85289636913061	0.343130021415215	0.86217446942577	0.662123374744746	0.625947538443212	0.58478593799032	0.576816932993002	0.724547829676158	0.583821252470178	0.644487031560357	0.66931522679125	0.700976107372129	0.535406986710763	0.619777049080686	0.524650133532586	0.542943872338307	0.563521909136359	0.59592094574255	0.732081573849479	0.600173385898787	0.696009923388278	0.616572355294947	0.701648518989772	0.665878550983044	0.54951994382605	0.410169893035053	0.492575420107231	0.618093283821744	0.753646351135186	0.482693100012566	0.655718206656472	0.709403640524998	0.560321246848389	0.521229698139117	0.56856089324529	0.513370277770819	0.569168977120372	0.829394880923099	0.538480974583503	0.381730858138737	0.727696600444845	0.370978562951286	0.621177986632486	0.758720757737107	0.519417283791115
"LogReg_Fold4"	0.489472940099047	0.724026595048077	0.522697371427297	0.517035473843236	0.717893327033721	0.526469835756895	0.761621125807414	0.843948471893765	0.477886591454692	0.682292590796885	0.612733924624521	0.404496579270076	0.575077468278334	0.280751815861335	0.617634089994669	0.3335894317704	0.177336893455171	0.542290386909585	0.799689601665161	0.732026169924469	0.348540437306142	0.642288688910146	0.33786068639731	0.434290941416103	0.392867265145111	0.668512695273158	0.779826936589773	0.490551692593585	0	0.510097331688763	0.692107552789595	0.461660646797174	0.616466922493475	0.437291221582314	0.535454132097892	0.376590906383944	0.626385536982356	0.533411647984188	0.450439552353456	0.267722556828666	0.362811076852541	0.531941423631632	0.330918575397224	0.503549377961403	0.5189657107256	0.631986006919894	0.764091808005868	0.574912967931512	0.458664966865473	0.748881978262584	0.698438192191927	0.510363649216154	0.718743544731262	0.59574912341787	0.68618831221056	0.751980010158384	0.482026411496253	0.595813678035142	0.306027000510792	0.676857638986898	0.497841286854125	0.555134728827285	0.496314780292638	0.591708215000942	0.51046831341237	0.533724518843143	0.387475872579245	0.557074513134098	0.678027297849067	0.44204935138126	0.405733592697288	0.78240481816096	0.588445604679889	0.654992806063553	1	0.521132485442643	0.710175188171866	0.568712088676971	0.575134348920781	0.522415581070816	0.536397350614345	0.659681829951256	0.59341296070367	0.608812123532413	0.455627040872346	0.531632522773853	0.592073235153752	0.571828381748944	0.60705021933161	0.509275440824739	0.649203763429405	0.703111089751119	0.476624681855169	0.753080153412154	0.875048710609639	0.5017850070497	0.548052368316959	0.360566882635632	0.625219604386053	0.350425027703092	0.83963868808331	0.572746869422331	0.672693034735172	0.699076943053045	0.730648061209064	0.384707276323968	0.657658355852392	0.621126933880753	0.393144848649066	0.850644910836215	0.427988381586819	0.587947208515167	0.463329844788947	0.477139135253496	0.642162515525484	0.636835310259072	0.425690188733576
"LogReg_Fold5"	0.142028098638581	0.345755167619321	0.20875072345244	0.516474843341328	0.794793213947692	0.505305082854815	0.605615374224125	0.666470465328029	0.469933443450653	0.585691554852552	0.476559032770003	0.434525745054047	0.473298625804368	0.381591091580912	0.518195936156273	0.114688558495608	0.457916560153054	0.552698013235872	0.484338387671925	0.410831572532021	0.0753835394745371	0.592432407393316	0.428982254637083	0	0.483131748041782	0.287029231997493	0.515794354840963	0.578040516783042	0.42471270104124	0.36560449943755	0.801416723528353	0.409015526459084	0.44611339118219	0.423373937827839	0.516725903287841	0.359628987351203	0.587789811469694	0.535639413929396	0.250867895236743	0.282857641058261	0.339918538507437	0.513078382650573	0.264943149583548	0.530939372652341	0.438563308544473	0.534706338601987	0.672951946706775	0.393063663085716	0.695873232769616	0.494862523830266	0.664848280437706	0.428191955385706	0.550864596777643	0.529716588187487	0.890467994033916	0.835673255680119	0.717807211770629	0.581081416696823	0.229745540276693	0.558171216965	0.625336833304691	0.554090963840302	0.573140509032946	0.462169913104495	0.547494456843736	0.373493320561694	0.521954683956381	0.366098265589417	0.641509782847489	0.722353361328059	0.419758918402015	0.611628651902108	0.410317377643578	0.491987659945761	0.579221059954419	0.645531383677554	0.342503572822297	0.542631586803229	0.459824454821931	0.363821001178632	0.543171231326553	0.350407439928155	0.541611538374512	1	0.402089344502206	0.390615771061999	0.138119992384325	0.516153499620871	0.738150567564343	0.481388190253618	0.458063049630189	0.344407118253518	0.415752131025054	0.265240230722567	0.558088451339581	0.463539449157416	0.466667877760882	0.0433880671863519	0.524818236468463	0.419101869495242	0.80952050679661	0.504828388174383	0.631790535726107	0.358879957039304	0.510838995257428	0.509369455147318	0.637627169810781	0.474687774041942	0.36829066411039	0.640804065532535	0.415388987573562	0.387123506667528	0.554599857766067	0.380059733428915	0.548575786290965	0.590718366632284	0.506811752365428
"Lasso_Fold1"	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.526635468135657	0.681026866586693	0.598428806321296	0.681026866586693	0.681026866586693	1	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.645032075205151	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.630186673055375	0.681026866586693	0.681026866586693	0.722394471131471	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.690284644085366	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.78673226125206	0.681026866586693	0.675714367570135	0.681026866586693	0.655784818560775	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.759456193923662	0.681026866586693	0.729703933779355	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.693753980123519	0.681026866586693	0.681026866586693	0.681026866586693	0.401067325655155	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.977514179389055	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.632314087413398	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693	0.681026866586693
"Lasso_Fold2"	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.74636664533848	0.747944353323875	0.747944353323875	0.747944353323875	0.923508564829488	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.96975634476594	0.712238057768511	0.747944353323875	0.599029832432669	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.700152181540302	0.747944353323875	0.843377522826249	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.674672222968222	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.867931046523935	1	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.481884349266147	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875	0.747944353323875
"Lasso_Fold3"	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.59801900273441	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.50878676906451	0.65832128097257	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	1	0.278041787798161	0.457211403930586	0.236925677209105	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.251387828125217	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.727090012909338	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.247083995702207	0.457211403930586	0.270753507221292	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.487323423906703	0.457211403930586	0.457211403930586	0.457211403930586	0.749536553104723	0.457211403930586	0.457211403930586	0.146716359389585	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.382980303002358	0.457211403930586	0.213259533256487	0.457211403930586	0.457211403930586	0.361045960162713	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586	0.457211403930586
"Lasso_Fold4"	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.682769724138262	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.654200593845513	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.494682846806632	0.54209081319901	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.633829210495986	0.588236693478701	0.588236693478701	0	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.591655924543143	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.363261101943342	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.817145368839564	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.67704534316237	0.583743934063907	0.588236693478701	0.35782662215163	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.760166627515089	0.588236693478701	0.588236693478701	0.597871301850165	0.588236693478701	0.588236693478701	0.588236693478701	1	0.595148069252634	0.588236693478701	0.398021362288791	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.556669298159304	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701	0.588236693478701
"Lasso_Fold5"	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.801179004093919	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	1	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.958836045743739	0.789797511626948	0.789797511626948	0.486346502027653	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.638316396893542	0.789797511626948	0.789797511626948	0.87576684007557	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.957987339366048	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.822597168450838	0.789797511626948	0.789797511626948	0.643061931657231	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.843439357399035	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.87093602935626	0.789797511626948	0.789797511626948	0.610443617205464	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.698547604120095	0.789797511626948	0.755333079639334	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948	0.789797511626948
